,CAID,Name
0,404378,WI-GO
1,404378,CHUNG YO
2,404378,HOTEL ROYAL
3,404378,PCHOME ONLINE INC.
4,404378,BUY123
5,404378,CRAZYMIKE
6,404378,TAIWAN XIAOMI
7,404378,EZTRAVEL TRAVEL SERVICE C
8,404378,EZTRAVEL TRAVEL SERVIC
9,477918,Web INFOCOM
10,477918,Web MOLDOVAGAZ
11,477918,Web ORANGE
12,477918,Web UNITE PREPAY
13,477918,Web STARNET
14,477918,The STARNET
15,477918,The STARNET
16,477918,The INFOCOM
17,477918,The ORANGE
18,443105,ADIRONDACK TRAILWAYS
19,443105,TRIVITA INC
20,443105,MONOPRICE INC
21,443105,FRONTPOINT SECURITY
22,443105,SIGNMEUP.COM*TRIATHLON
23,443105,SIGNMEUP.COM*DONATION
24,443105,SIGNMEUP.COM*RUN/WALK
25,443105,SIGNMEUP.COM*VOLUNTEER
26,443105,SIGNMEUP.COM*PARK REC
27,443105,SIGNMEUP.COM*DRIVE SCH
28,443105,SIGNMEUP.COM*MEMBRSHIP
29,443105,SIGNMEUP.COM*CONFERENC
30,443105,JOHN WM.MACY'S CHSTICKS
31,443105,PROTECT AMERICA
32,443105,DISCUS DENTAL/PHILIPS
33,443105,REEBOK INTERNATIONAL LTD
34,443105,SHOP-CROSSFIT-REEBOK
35,443105,BOLOCO CATERING
36,443105,BOOKS ARE FUN
37,443105,TEKTRONIX INC
38,443105,ELEPHANT BAR GC
39,443105,INDEPENDENCE LANDSCAPE
40,443105,LE PAIN QUOTIDIEN
41,443105,ALEX AND ANI  WELLESLEY
42,443105,ALEX AND ANI - CLINTON
43,443105,ALEX AND ANI ASPEN
44,443105,ALEX AND ANI FT LAUDERDA
45,443105,ALEX AND ANI- PRINCETON
46,443105,ALEX AND ANI - FAIRFAX
47,443105,SKECHERS.COM #600
48,443105,AXS TICKETING
49,443105,HOME DECOR 99 WEB
50,443105,PLEASANT HOLIDAYS LLC
51,443105,HOSTGATOR.COM
52,443105,HOSTGATOR.COM SINGAPOR
53,443105,PREP SPORTSWEAR INC
54,443105,HUSH PUPPIES.COM
55,443105,STRIDERITE.COM
56,443105,REPUBLIC SERVICES TRASH
57,443105,REPUBLIC SERVICES
58,443105,SUN SENTINEL MG2
59,443105,CHICAGO TITLE
60,443105,TELECHARGE SVCE
61,443105,TELECHARGE / SEATGEEK
62,443105,QUEST NUTRITION LLC
63,443105,METRO FARE AUTOLOAD
64,443105,GEXA ENERGY
65,443105,NW NATURAL
66,443105,RUTH'S CHRIS STEAK HOUSE
67,443105,SWIMOUTLET.COM
68,443105,LYCAMOBILE
69,443105,WEDDINGPAPERDIVAS.COM
70,443105,TCGPLAYER.COM
71,443105,DXLG.COM
72,443105,MURPHY OIL #8888
73,443105,MURPHY EXPRESS #8696
74,443105,MURPHY7346ATWALMRT
75,443105,MURPHY7112ATWALMRT
76,443105,MURPHY7469ATWALMRT
77,443105,PARK CHICAGO MOBILE
78,443105,RAIL EUROPE INC
79,443105,QUIBIDS HOLDINGS LLC
80,443105,GENGHIS GRILL-ARLIINGTON
81,443105,GENGHIS GRILL KINGSTOWNE
