,CAID,Name,Pattern,count
0,404378,WI GO,"['WI', 'GO']",1
1,404378,CHUNG YO,"['CHUNG', 'YO']",1
2,404378,HOTEL ROYAL,"['HOTEL', 'ROYAL']",1
3,404378,PCHOME ONLINE INC ,"['PCHOME', 'ONLINE', 'INC', '']",1
4,404378,BUY123,['BUY123'],1
5,404378,CRAZYMIKE,['CRAZYMIKE'],1
6,404378,TAIWAN XIAOMI,"['TAIWAN', 'XIAOMI']",1
7,404378,EZTRAVEL TRAVEL SERVICE C,"['EZTRAVEL', 'TRAVEL']",2
8,477918,Web INFOCOM,['Web'],5
9,477918,The STARNET,"['The', 'STARNET']",2
10,477918,The INFOCOM,"['The', 'INFOCOM']",1
11,477918,The ORANGE,"['The', 'ORANGE']",1
12,443105,ADIRONDACK TRAILWAYS,"['ADIRONDACK', 'TRAILWAYS']",1
13,443105,TRIVITA INC,"['TRIVITA', 'INC']",1
14,443105,MONOPRICE INC,"['MONOPRICE', 'INC']",1
15,443105,FRONTPOINT SECURITY,"['FRONTPOINT', 'SECURITY']",1
16,443105,SIGNMEUP COM TRIATHLON,"['SIGNMEUP', 'COM']",8
17,443105,JOHN WM MACY S CHSTICKS,"['JOHN', 'WM', 'MACY', 'S', 'CHSTICKS']",1
18,443105,PROTECT AMERICA,"['PROTECT', 'AMERICA']",1
19,443105,DISCUS DENTAL PHILIPS,"['DISCUS', 'DENTAL', 'PHILIPS']",1
20,443105,REEBOK INTERNATIONAL LTD,"['REEBOK', 'INTERNATIONAL', 'LTD']",1
21,443105,SHOP CROSSFIT REEBOK,"['SHOP', 'CROSSFIT', 'REEBOK']",1
22,443105,BOLOCO CATERING,"['BOLOCO', 'CATERING']",1
23,443105,BOOKS ARE FUN,"['BOOKS', 'ARE', 'FUN']",1
24,443105,TEKTRONIX INC,"['TEKTRONIX', 'INC']",1
25,443105,ELEPHANT BAR GC,"['ELEPHANT', 'BAR', 'GC']",1
26,443105,INDEPENDENCE LANDSCAPE,"['INDEPENDENCE', 'LANDSCAPE']",1
27,443105,LE PAIN QUOTIDIEN,"['LE', 'PAIN', 'QUOTIDIEN']",1
28,443105,ALEX AND ANI WELLESLEY,"['ALEX', 'AND', 'ANI']",6
29,443105,SKECHERS COM 600,"['SKECHERS', 'COM', '600']",1
30,443105,AXS TICKETING,"['AXS', 'TICKETING']",1
31,443105,HOME DECOR 99 WEB,"['HOME', 'DECOR', '99', 'WEB']",1
32,443105,PLEASANT HOLIDAYS LLC,"['PLEASANT', 'HOLIDAYS', 'LLC']",1
33,443105,HOSTGATOR COM,"['HOSTGATOR', 'COM']",2
34,443105,PREP SPORTSWEAR INC,"['PREP', 'SPORTSWEAR', 'INC']",1
35,443105,HUSH PUPPIES COM,"['HUSH', 'PUPPIES', 'COM']",1
36,443105,STRIDERITE COM,"['STRIDERITE', 'COM']",1
37,443105,REPUBLIC SERVICES TRASH,"['REPUBLIC', 'SERVICES']",2
38,443105,SUN SENTINEL MG2,"['SUN', 'SENTINEL', 'MG2']",1
39,443105,CHICAGO TITLE,"['CHICAGO', 'TITLE']",1
40,443105,TELECHARGE SVCE,['TELECHARGE'],2
41,443105,QUEST NUTRITION LLC,"['QUEST', 'NUTRITION', 'LLC']",1
42,443105,METRO FARE AUTOLOAD,"['METRO', 'FARE', 'AUTOLOAD']",1
43,443105,GEXA ENERGY,"['GEXA', 'ENERGY']",1
44,443105,NW NATURAL,"['NW', 'NATURAL']",1
45,443105,RUTH S CHRIS STEAK HOUSE,"['RUTH', 'S', 'CHRIS', 'STEAK', 'HOUSE']",1
46,443105,SWIMOUTLET COM,"['SWIMOUTLET', 'COM']",1
47,443105,LYCAMOBILE,['LYCAMOBILE'],1
48,443105,WEDDINGPAPERDIVAS COM,"['WEDDINGPAPERDIVAS', 'COM']",1
49,443105,TCGPLAYER COM,"['TCGPLAYER', 'COM']",1
50,443105,DXLG COM,"['DXLG', 'COM']",1
51,443105,MURPHY OIL 8888,['MURPHY'],2
52,443105,MURPHY7346ATWALMRT,['MURPHY7346ATWALMRT'],1
53,443105,MURPHY7112ATWALMRT,['MURPHY7112ATWALMRT'],1
54,443105,MURPHY7469ATWALMRT,['MURPHY7469ATWALMRT'],1
55,443105,PARK CHICAGO MOBILE,"['PARK', 'CHICAGO', 'MOBILE']",1
56,443105,RAIL EUROPE INC,"['RAIL', 'EUROPE', 'INC']",1
57,443105,QUIBIDS HOLDINGS LLC,"['QUIBIDS', 'HOLDINGS', 'LLC']",1
58,443105,GENGHIS GRILL ARLIINGTON,"['GENGHIS', 'GRILL']",5
59,443105,LIGHTQUEST INTERNATIONAL,"['LIGHTQUEST', 'INTERNATIONAL']",1
60,443105,2CO COM IDENTISOU,"['2CO', 'COM']",10
61,443105,SENTRY DAIRYLANDCYCLE,['SENTRY'],2
62,443105,PRET A MANGER 009,"['PRET', 'A', 'MANGER']",7
63,443105,WWW AMICLUBWEAR COM,"['WWW', 'AMICLUBWEAR', 'COM']",1
64,443105,E Z TEST POOL SUPPLIES,"['E', 'Z', 'TEST', 'POOL', 'SUPPLIES']",1
65,443105,STARTECHTEL COM,"['STARTECHTEL', 'COM']",1
66,443105,AMANTEL COM,"['AMANTEL', 'COM']",1
67,443105,MYUS COM,"['MYUS', 'COM']",1
68,443105,ORLANDO SENTINEL MG2,"['ORLANDO', 'SENTINEL', 'MG2']",1
69,443105,LENOVO GROUP,"['LENOVO', 'GROUP']",1
70,443105,ZUMIEZ 600 CYB,"['ZUMIEZ', '600', 'CYB']",1
71,443105,TINYPRINTS COM,"['TINYPRINTS', 'COM']",1
72,443105,ADIDAS ONLINE STORE,"['ADIDAS', 'ONLINE', 'STORE']",1
73,443105,ARDIN FURNITURE,"['ARDIN', 'FURNITURE']",1
74,443105,ADMIRAL INSURANCE AGENCY,"['ADMIRAL', 'INSURANCE', 'AGENCY']",1
75,443105,KELLEY RYAN ASSOCIATES,"['KELLEY', 'RYAN', 'ASSOCIATES']",1
76,443105,LAS VEGAS MUNI COURT,"['LAS', 'VEGAS', 'MUNI', 'COURT']",1
